"","X.1","X","date","val","diff","change","key","race","sex"
"125",125,125,"2021-02-01",4583,-246,-5.0942224062953,"asian_women","asian","women"
"126",126,126,"2019-02-01",5270,-228,-4.14696253182976,"asian_men","asian","men"
"127",127,127,"2019-03-01",5297,-201,-3.65587486358676,"asian_men","asian","men"
"128",128,128,"2019-04-01",5264,-234,-4.25609312477264,"asian_men","asian","men"
"129",129,129,"2019-05-01",5331,-167,-3.03746817024372,"asian_men","asian","men"
"130",130,130,"2019-06-01",5416,-82,-1.49145143688614,"asian_men","asian","men"
"131",131,131,"2019-07-01",5467,-31,-0.56384139687159,"asian_men","asian","men"
"132",132,132,"2019-08-01",5352,-146,-2.65551109494362,"asian_men","asian","men"
"133",133,133,"2019-09-01",5318,-180,-3.27391778828665,"asian_men","asian","men"
"134",134,134,"2019-10-01",5424,-74,-1.34594397962896,"asian_men","asian","men"
"135",135,135,"2019-11-01",5519,21,0.381957075300109,"asian_men","asian","men"
"136",136,136,"2019-12-01",5381,-117,-2.12804656238632,"asian_men","asian","men"
"137",137,137,"2020-01-01",5327,-171,-3.11022189887232,"asian_men","asian","men"
"138",138,138,"2020-02-01",5498,0,0,"asian_men","asian","men"
"139",139,139,"2020-03-01",5331,-167,-3.03746817024372,"asian_men","asian","men"
"140",140,140,"2020-04-01",4548,-950,-17.2790105492907,"asian_men","asian","men"
"141",141,141,"2020-05-01",4586,-912,-16.587850127319,"asian_men","asian","men"
"142",142,142,"2020-06-01",4695,-803,-14.6053110221899,"asian_men","asian","men"
"143",143,143,"2020-07-01",4936,-562,-10.2218988723172,"asian_men","asian","men"
"144",144,144,"2020-08-01",5040,-458,-8.33030192797381,"asian_men","asian","men"
"145",145,145,"2020-09-01",5087,-411,-7.47544561658785,"asian_men","asian","men"
"146",146,146,"2020-10-01",5080,-418,-7.60276464168789,"asian_men","asian","men"
"147",147,147,"2020-11-01",5194,-304,-5.52928337577301,"asian_men","asian","men"
"148",148,148,"2020-12-01",5168,-330,-6.00218261185886,"asian_men","asian","men"
"149",149,149,"2021-01-01",5156,-342,-6.22044379774463,"asian_men","asian","men"
"150",150,150,"2021-02-01",5290,-208,-3.7831938886868,"asian_men","asian","men"
"151",151,151,"2019-02-01",56280,-689,-1.20942968983131,"white_women","white","women"
"152",152,152,"2019-03-01",56323,-646,-1.13395004300585,"white_women","white","women"
"153",153,153,"2019-04-01",56227,-742,-1.30246274289526,"white_women","white","women"
"154",154,154,"2019-05-01",55933,-1036,-1.81853288630659,"white_women","white","women"
"155",155,155,"2019-06-01",55912,-1057,-1.8553950394074,"white_women","white","women"
"156",156,156,"2019-07-01",55957,-1012,-1.77640471133423,"white_women","white","women"
"157",157,157,"2019-08-01",55955,-1014,-1.77991539258193,"white_women","white","women"
"158",158,158,"2019-09-01",56668,-301,-0.528357527778265,"white_women","white","women"
"159",159,159,"2019-10-01",57117,148,0.259790412329512,"white_women","white","women"
"160",160,160,"2019-11-01",57091,122,0.214151556109463,"white_women","white","women"
"161",161,161,"2019-12-01",57027,58,0.101809756183187,"white_women","white","women"
"162",162,162,"2020-01-01",56619,-350,-0.61436921834682,"white_women","white","women"
"163",163,163,"2020-02-01",56969,0,0,"white_women","white","women"
"164",164,164,"2020-03-01",55962,-1007,-1.76762800821499,"white_women","white","women"
"165",165,165,"2020-04-01",46820,-10149,-17.8149519914339,"white_women","white","women"
"166",166,166,"2020-05-01",48584,-8385,-14.718531130966,"white_women","white","women"
"167",167,167,"2020-06-01",50838,-6131,-10.7619933648124,"white_women","white","women"
"168",168,168,"2020-07-01",51356,-5613,-9.85272692165915,"white_women","white","women"
"169",169,169,"2020-08-01",52538,-4431,-7.77791430427074,"white_women","white","women"
"170",170,170,"2020-09-01",52786,-4183,-7.34258982955643,"white_women","white","women"
"171",171,171,"2020-10-01",54106,-2863,-5.02554020607699,"white_women","white","women"
"172",172,172,"2020-11-01",54156,-2813,-4.93777317488459,"white_women","white","women"
"173",173,173,"2020-12-01",54005,-2964,-5.20282960908564,"white_women","white","women"
"174",174,174,"2021-01-01",53372,-3597,-6.31396022398146,"white_women","white","women"
"175",175,175,"2021-02-01",53979,-2990,-5.24846846530569,"white_women","white","women"
"176",176,176,"2019-02-01",65348,-352,-0.535768645357687,"white_men","white","men"
"177",177,177,"2019-03-01",65605,-95,-0.144596651445967,"white_men","white","men"
"178",178,178,"2019-04-01",65809,109,0.165905631659056,"white_men","white","men"
"179",179,179,"2019-05-01",66337,637,0.969558599695586,"white_men","white","men"
"180",180,180,"2019-06-01",66796,1096,1.66818873668189,"white_men","white","men"
"181",181,181,"2019-07-01",67012,1312,1.99695585996956,"white_men","white","men"
"182",182,182,"2019-08-01",66483,783,1.19178082191781,"white_men","white","men"
